state,year,quarter,reg_user,app_open,district,latitude,longitude
Andaman and Nicobar Islands,2018,Q1,632,0,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q1,5846,0,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q1,262,0,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q2,911,0,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q2,8143,0,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q2,351,0,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q3,1208,0,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q3,10474,0,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q3,467,0,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q4,1553,0,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q4,13133,0,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q4,536,0,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q1,2013,0,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2019,Q1,15961,0,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2019,Q1,622,0,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q2,2417,6118,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2019,Q2,18621,43569,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2019,Q2,693,2953,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q3,2662,22064,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2019,Q3,20518,138190,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2019,Q3,751,10853,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q4,2955,26253,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2019,Q4,22202,139646,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2019,Q4,803,11113,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2020,Q1,3315,30444,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2020,Q1,24174,151529,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2020,Q1,879,11613,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2020,Q2,4100,56992,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2020,Q2,27626,231071,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2020,Q2,984,17009,Nicobars,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2020,Q3,5355,76553,North and Middle Andaman,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2020,Q3,34833,417785,South Andaman,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2020,Q3,1147,21227,Nicobars,9.15129198727817,92.82281244301362
