state,year,quarter,count,amount,district,latitude_x,longitude_x,latitude_y,longitude_y,latitude,longitude
Andaman and Nicobar Islands,2018,Q1,5688,12560249,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q1,528,1139848,Nicobars,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q1,442,931663,North and Middle Andaman,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q2,9395,23948235,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q2,1120,3072436,Nicobars,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q2,825,1317863,North and Middle Andaman,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q3,13511,44268112,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q3,1471,6387829,Nicobars,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2018,Q3,1283,4901529,North and Middle Andaman,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q4,20136,75411840,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2018,Q4,2137,7955635,North and Middle Andaman,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2018,Q4,1485,7180859,Nicobars,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q1,25683,85501972,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
Andaman and Nicobar Islands,2019,Q1,3264,9561708,North and Middle Andaman,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492,12.836031727313532,92.90261715744492
Andaman and Nicobar Islands,2019,Q1,1539,7236059,Nicobars,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362,9.15129198727817,92.82281244301362
Andaman and Nicobar Islands,2019,Q2,28490,102530955,South Andaman,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348,11.643445171159676,92.70335751146348
