state,year,quarter,count,amount,pincode
Andaman and Nicobar Islands,2018,Q1,1622,2769297,744101
Andaman and Nicobar Islands,2018,Q1,1223,2238041,744103
Andaman and Nicobar Islands,2018,Q1,969,3519059,744102
Andaman and Nicobar Islands,2018,Q1,685,1298560,744105
Andaman and Nicobar Islands,2018,Q1,340,1039715,744104
Andaman and Nicobar Islands,2018,Q1,302,556059,744107
Andaman and Nicobar Islands,2018,Q1,283,445739,744301
Andaman and Nicobar Islands,2018,Q1,269,333709,744112
Andaman and Nicobar Islands,2018,Q1,193,238914,744202
Andaman and Nicobar Islands,2018,Q1,168,547469,744302
Andaman and Nicobar Islands,2018,Q2,2701,6310089,744101
Andaman and Nicobar Islands,2018,Q2,1965,4752146,744103
Andaman and Nicobar Islands,2018,Q2,1525,5810267,744102
Andaman and Nicobar Islands,2018,Q2,997,2200332,744105
Andaman and Nicobar Islands,2018,Q2,767,1953749,744301
Andaman and Nicobar Islands,2018,Q2,659,1650346,744104
Andaman and Nicobar Islands,2018,Q2,594,1601569,744107
Andaman and Nicobar Islands,2018,Q2,432,578829,744112
Andaman and Nicobar Islands,2018,Q2,405,626523,744202
Andaman and Nicobar Islands,2018,Q2,291,1026590,744302
Andaman and Nicobar Islands,2018,Q3,3462,10833893,744101
Andaman and Nicobar Islands,2018,Q3,3182,10184154,744103
Andaman and Nicobar Islands,2018,Q3,2224,10365275,744102
Andaman and Nicobar Islands,2018,Q3,1613,5152534,744105
Andaman and Nicobar Islands,2018,Q3,1029,2588077,744104
Andaman and Nicobar Islands,2018,Q3,975,4256576,744301
Andaman and Nicobar Islands,2018,Q3,579,1145815,744112
Andaman and Nicobar Islands,2018,Q3,547,1492405,744107
Andaman and Nicobar Islands,2018,Q3,417,1976781,744302
Andaman and Nicobar Islands,2018,Q3,341,2099404,744202
Andaman and Nicobar Islands,2018,Q4,4674,16392855,744101
Andaman and Nicobar Islands,2018,Q4,4576,17022520,744103
Andaman and Nicobar Islands,2018,Q4,3306,17019977,744102
Andaman and Nicobar Islands,2018,Q4,2513,9935282,744105
Andaman and Nicobar Islands,2018,Q4,1432,6091757,744104
Andaman and Nicobar Islands,2018,Q4,1225,3451359,744211
Andaman and Nicobar Islands,2018,Q4,928,4606293,744301
Andaman and Nicobar Islands,2018,Q4,759,2208675,744112
Andaman and Nicobar Islands,2018,Q4,747,1825659,744107
Andaman and Nicobar Islands,2018,Q4,702,3797054,744202
Andaman and Nicobar Islands,2019,Q1,5742,19401964,744103
Andaman and Nicobar Islands,2019,Q1,5156,15501306,744101
Andaman and Nicobar Islands,2019,Q1,3925,16683547,744102
Andaman and Nicobar Islands,2019,Q1,3553,11588669,744105
Andaman and Nicobar Islands,2019,Q1,2833,9141657,744104
Andaman and Nicobar Islands,2019,Q1,1511,5794838,744211
Andaman and Nicobar Islands,2019,Q1,1112,3613381,744202
Andaman and Nicobar Islands,2019,Q1,1029,3592930,744107
Andaman and Nicobar Islands,2019,Q1,920,4652963,744301
Andaman and Nicobar Islands,2019,Q1,802,1893718,744112
Andaman and Nicobar Islands,2019,Q2,6142,15625676,744104
Andaman and Nicobar Islands,2019,Q2,5847,23751450,744103
Andaman and Nicobar Islands,2019,Q2,4863,19061125,744101
Andaman and Nicobar Islands,2019,Q2,4120,18948733,744102
Andaman and Nicobar Islands,2019,Q2,3500,13418692,744105
Andaman and Nicobar Islands,2019,Q2,1153,3619993,744202
Andaman and Nicobar Islands,2019,Q2,1124,2967445,744107
Andaman and Nicobar Islands,2019,Q2,1047,3168331,744211
Andaman and Nicobar Islands,2019,Q2,1007,4849284,744301
Andaman and Nicobar Islands,2019,Q2,763,2928099,744112
Andaman and Nicobar Islands,2019,Q3,5680,19906337,744103
Andaman and Nicobar Islands,2019,Q3,5606,18745152,744101
Andaman and Nicobar Islands,2019,Q3,4786,15754793,744104
Andaman and Nicobar Islands,2019,Q3,3643,14572605,744102
Andaman and Nicobar Islands,2019,Q3,3512,11767223,744105
Andaman and Nicobar Islands,2019,Q3,1417,3875602,744202
Andaman and Nicobar Islands,2019,Q3,1402,6195496,744301
Andaman and Nicobar Islands,2019,Q3,1118,2983697,744211
